smiles,MW,LogP,HBD,HBA,TPSA,RotBonds,AromaticRings,QED,Lipinski_Violations,scaffold,molecule_chembl_id,standard_type,standard_value,standard_units,pchembl_value,assay_chembl_id,target_chembl_id,document_chembl_id,type1_confidence,type1_reasoning
Brc1cc2c(NCc3ccccn3)ncnc2s1,321.2029999999998,3.4609000000000005,1,5,50.7,3,3,0.8025223631913365,0,c1ccc(CNc2ncnc3sccc23)nc1,CHEMBL3416616,IC50,7904.0,nM,5.1,CHEMBL3418211,CHEMBL203,CHEMBL3414443,0.75,Activity in Type 1 range; MW in Type 1 range; LogP in drug-like range; H-bond features typical of Type 1; Aromatic ring count typical; General kinase inhibitor properties
Brc1cc2c(NCc3cccnc3)ncnc2s1,321.2029999999998,3.4609000000000005,1,5,50.7,3,3,0.8025223631913365,0,c1cncc(CNc2ncnc3sccc23)c1,CHEMBL3416615,IC50,10000.0,nM,,CHEMBL3418211,CHEMBL203,CHEMBL3414443,0.75,Activity in Type 1 range; MW in Type 1 range; LogP in drug-like range; H-bond features typical of Type 1; Aromatic ring count typical; General kinase inhibitor properties
Brc1cc2c(NCc3ccncc3)ncnc2s1,321.2029999999998,3.4609000000000005,1,5,50.7,3,3,0.8025223631913365,0,c1cc(CNc2ncnc3sccc23)ccn1,CHEMBL3416614,IC50,3883.0,nM,5.41,CHEMBL3418211,CHEMBL203,CHEMBL3414443,0.75,Activity in Type 1 range; MW in Type 1 range; LogP in drug-like range; H-bond features typical of Type 1; Aromatic ring count typical; General kinase inhibitor properties
Brc1cccc(Nc2ncnc3[nH]ccc23)c1,289.13599999999985,3.4640000000000004,2,3,53.6,2,3,0.7592316613598842,0,c1ccc(Nc2ncnc3[nH]ccc23)cc1,CHEMBL5181237,IC50,3.76,nM,8.43,CHEMBL5231460,CHEMBL203,CHEMBL5230115,0.8999999999999999,Activity in Type 1 range; Activity in typical Type 1 range; Contains aniline substituent; LogP in drug-like range; Aromatic ring count typical
Brc1cccc(Nc2ncnc3cc(NCCN4CCOCC4)ncc23)c1,429.32199999999983,3.2750000000000012,2,7,75.2,6,3,0.6231140863863043,0,c1ccc(Nc2ncnc3cc(NCCN4CCOCC4)ncc23)cc1,CHEMBL128987,IC50,3.2,nM,8.49,CHEMBL677387,CHEMBL203,CHEMBL1130246,1.0,Activity in Type 1 range; Activity in typical Type 1 range; Contains aniline substituent; MW in Type 1 range; LogP in drug-like range; H-bond features typical of Type 1; Aromatic ring count typical; General kinase inhibitor properties
Brc1cccc(Nc2ncnc3cc4[nH]nnc4cc23)c1,341.1719999999999,3.4072000000000005,2,5,79.38000000000001,2,4,0.5841120308083241,0,c1ccc(Nc2ncnc3cc4[nH]nnc4cc23)cc1,CHEMBL172652,IC50,4.1,nM,8.39,CHEMBL679548,CHEMBL203,CHEMBL1129035,1.0,Activity in Type 1 range; Activity in typical Type 1 range; Contains aniline substituent; MW in Type 1 range; LogP in drug-like range; H-bond features typical of Type 1; Aromatic ring count typical; General kinase inhibitor properties
Brc1cccc(Nc2ncnc3cccnc23)c1,301.1469999999998,3.530900000000001,1,4,50.7,2,3,0.7864226288611571,0,c1ccc(Nc2ncnc3cccnc23)cc1,CHEMBL54805,IC50,34.0,nM,7.47,CHEMBL680021,CHEMBL203,CHEMBL1129564,1.0,Activity in Type 1 range; Activity in typical Type 1 range; Contains aniline substituent; MW in Type 1 range; LogP in drug-like range; H-bond features typical of Type 1; Aromatic ring count typical
Brc1cccc(Nc2ncnc3ccncc23)c1,301.1469999999999,3.530900000000001,1,4,50.7,2,3,0.7864226288611571,0,c1ccc(Nc2ncnc3ccncc23)cc1,CHEMBL52665,IC50,35.0,nM,7.46,CHEMBL680021,CHEMBL203,CHEMBL1129564,1.0,Activity in Type 1 range; Activity in typical Type 1 range; Contains aniline substituent; MW in Type 1 range; LogP in drug-like range; H-bond features typical of Type 1; Aromatic ring count typical
Brc1cccc(Nc2ncnc3ccncc23)c1NCCN1CCOCC1,429.32199999999983,3.2750000000000004,2,7,75.2,6,3,0.6231140863863042,0,c1ccc(Nc2ncnc3ccncc23)c(NCCN2CCOCC2)c1,CHEMBL405398,IC50,3.236,nM,8.49,CHEMBL952131,CHEMBL203,CHEMBL1143196,1.0,Activity in Type 1 range; Activity in typical Type 1 range; Contains aniline substituent; MW in Type 1 range; LogP in drug-like range; H-bond features typical of Type 1; Aromatic ring count typical; General kinase inhibitor properties
Brc1cccc(Nc2ncnc3cnc(NCCCN4CCOCC4)nc23)c1,444.3369999999998,3.0601000000000003,2,8,88.09,7,3,0.5380965898414123,0,c1ccc(Nc2ncnc3cnc(NCCCN4CCOCC4)nc23)cc1,CHEMBL417420,IC50,2.9,nM,8.54,CHEMBL679947,CHEMBL203,CHEMBL1130057,1.0,Activity in Type 1 range; Activity in typical Type 1 range; Contains aniline substituent; MW in Type 1 range; LogP in drug-like range; H-bond features typical of Type 1; Aromatic ring count typical
